fname|prefix|middle|suffix|mid_pred|label|comment|exact_match|chrf|bleu|rouge1|rouge2|rougeL
code_examples\tracks_json_writer.py|"from .abstract_writer import AbstractWriter

import os
import json
import numpy as np
from typing import Any, List


class TracksJsonWriter(AbstractWriter):
    """"""
    A class to write tracking data to JSON files.

    This class handles writing both object tracks and keypoint tracks to separate JSON files.
    It ensures that existing data can be appended without losing previous entries.
    """"""

    def __init__(self, save_dir: str = '', object_fname: str = 'object_tracks', 
                 keypoints_fname: str = 'keypoint_tracks') -> None:
        """"""
        Initializes the TracksJsonWriter.

        Args:
            save_dir (str): Directory to save JSON files.
            object_fname (str): Filename for object tracks (without extension).
            keypoints_fname (str): Filename for keypoint tracks (without extension).
        """"""
        super().__init__()
        self.save_dir = save"|"_dir
        self.obj_path = os.path.join(self.save_dir, f'{object_fname}.json')
        self.kp_path = os.path."|"join(self.save_dir, f'{keypoints_fname}.json')

        if os.path.exists(save_dir):
            self._remove_existing_files(files=[self.kp_path, self.obj_path]) 
        else:
            os.makedirs(save_dir)
    
    def get_object_tracks_path(self) -> str:
        """"""Returns the path for the object tracks JSON file.""""""
        return self.obj_path
    
    def get_keypoints_tracks_path(self) -> str:
        """"""Returns the path for the keypoint tracks JSON file.""""""
        return self.kp_path

    def write(self, filename: str, tracks: Any) -> None:
        """"""Write tracks to a JSON file.

        If the file already exists, new tracks are appended.

        Args:
            filename (str): The name of the file to save tracks.
            tracks (Any): The tracking data to write to"|"_dir
        self.object_fname = object_fname
        self.keypoints_fname = keypoints_fname

    def _remove_existing_files(self, files"|2|Some parts make sense, but mostly incorrect.|False|11.391510485536054|0.02777619034011792|0.33333333333333337|0.11764705882352941|0.27777777777777773
code_examples\club_assigner.py|" os.listdir(self.output_dir) if name.startswith('player')])

    def apply_mask(self, image: np.ndarray, green_threshold: float = 0.08) -> np.ndarray:
        """"""
        Apply a mask to an image based on green color in HSV space. 
        If the mask covers more than green_threshold of the image, apply the inverse of the mask.

        Args:
            image (np.ndarray): An image to apply the mask to.
            green_threshold (float): Threshold for green color coverage.

        Returns:
            np.ndarray: The masked image.
        """"""
        hsv_img = cv2.cvtColor(image, cv2.COLOR_BGR2HSV)

        # Define the green color range in HSV
        lower_green = np.array([36, 25, 25])
        upper_green = np.array([86, 2"|"55, 255])

        # create the mask
        mask = cv2.inrange(hsv_img, lower_green, upper_green)

        # count the number"|" of masked pixels
        total_pixels = image.shape[0] * image.shape[1]
        masked_pixels = cv2.countNonZero(cv2.bitwise_not(mask))
        mask_percentage = masked_pixels / total_pixels
        
        if mask_percentage > green_threshold:
            # Apply inverse mask
            return cv2.bitwise_and(image, image, mask=cv2.bitwise_not(mask))
        else:
            # Apply normal mask
            return image

    def clustering(self, img: np.ndarray) -> Tuple[int, int, int]:
        """"""
        Perform K-Means clustering on an image to identify the dominant jersey color.

        Args:
            img (np.ndarray): The input image.

        Returns:
            Tuple[int, int, int]: The jersey color in BGR format.
        """"""
        # Reshape image to 2D array
        img_reshape ="|", 25])

        # define the mask
        mask = cv2.inrange(hsv_img, lower_green, upper_green)

        # apply mask"|0|Almost entirely correct. Some parts differ, but the meaning is fully correct.|False|71.65420281454047|0.49309782490179943|0.6875|0.6666666666666666|0.6875
code_examples\ball_to_player_assigner.py|"ball_speed
        self.speed_check_frames = speed_check_frames
        self.possession_tracker = PossessionTracker(club1, club2)
        self.last_possession_frame = None
        self.last_player_w_ball = None
        self.last_possessing_team = -1
        self.ball_exists = False
        self.ball_lost_frame = None
        self.ball_history = []
        self.penalty_point_distance = penalty_point_distance

    def is_ball_movement_valid(self, ball_pos: Tuple[float, float], current_frame: int) -> bool:
        """"""
        Checks if the ball's movement is valid based on its previous position.

        Args:
            ball_pos (Tuple[float, float]): The current position of the ball (x, y).
            current_frame (int): The current frame number.

        Returns:
           "|"bool: true if the ball movement is valid, false otherwise.
        """"""
        if not self.ball_history:
            return true  # no history, so movement is valid
        
        last_ball"|"_pos, last_frame = self.ball_history[-1]

        if current_frame - last_frame <= self.speed_check_frames:
            distance_moved = point_distance(ball_pos, last_ball_pos)

            if distance_moved > self.max_ball_speed:
                return False  # Movement is too large, likely invalid

        return True

    def assign(self, tracks: Dict[str, Any], current_frame: int, penalty_point_1_pos: Tuple[float, float], penalty_point_2_pos: Tuple[float, float]) -> Tuple[Dict[str, Any], int]:
        """"""
        Assigns the ball to the nearest player based on various criteria.

        Args:
            tracks (Dict[str, Any]): A dictionary containing tracked objects.
            current_frame (int): The current frame number.
            penalty_point_1_pos (Tuple[float, float"|"bool: true if the ball is moving, false otherwise.
        """"""
        if self.ball_exists:
            return true

        if self.last_possession_frame is non"|1|The comment is entirely correct, but the following code is mostly incorrect.|False|42.69758976765509|0.2735477552240645|0.6382978723404256|0.35555555555555557|0.5957446808510639
code_examples\football_video_processor.py|"()[-1]
        possession_club1 = possession[0]
        possession_club2 = possession[1]

        # Calculate sizes for each possession segment in pixels
        club1_width = int(bar_width * possession_club1)
        club2_width = int(bar_width * possession_club2)
        neutral_width = bar_width - club1_width - club2_width

        club1_color = self.club_assigner.club1.player_jersey_color
        club2_color = self.club_assigner.club2.player_jersey_color
        neutral_color = (128, 128, 128)

        # Convert Club Colors from RGB to BGR
        club1_color = rgb_bgr_converter(club1_color)
        club2_color = rgb_bgr_converter(club2"|"_color)

        # draw club 1's possession (left)
        cv2.rectangle(frame, (bar_x, bar_y), (bar_x + club1_"|"width, bar_y + bar_height), club1_color, -1)

        # Draw neutral possession (middle)
        cv2.rectangle(frame, (bar_x + club1_width, bar_y), (bar_x + club1_width + neutral_width, bar_y + bar_height), neutral_color, -1)

        # Draw club 2's possession (right)
        cv2.rectangle(frame, (bar_x + club1_width + neutral_width, bar_y), (bar_x + bar_width, bar_y + bar_height), club2_color, -1)

        # Draw outline for the entire progress bar
        cv2.rectangle(frame, (bar_x, bar_y), (bar_x + bar_width, bar_y + bar_height), (0, 0, 0), 2)

        # Calculate the"|"_color)
        neutral_color = rgb_bgr_converter(neutral_color)

        # draw the progress bar
        cv2.rectangle(frame, (bar_"|2|Some parts make sense, but for the main part of the code, the meaning is not correct.|False|36.24825167079533|0.039524926351130286|0.42424242424242425|0.2580645161290323|0.3636363636363636
code_examples\football_video_processor.py|" np.ndarray:
        """"""
        Combines the original video frame with the projection of player positions on the field image.

        Args:
            frame (np.ndarray): The original video frame.
            projection_frame (np.ndarray): The projected field image with annotations.

        Returns:
            np.ndarray: The combined frame.
        """"""
        # Target canvas size
        canvas_width, canvas_height = 1920, 1080
        
        # Get dimensions of the original frame and projection frame
        h_frame, w_frame, _ = frame.shape
        h_proj, w_proj, _ = projection_frame.shape

        # Scale the projection to 70% of its original size
        scale_proj = 0.7
        new_w_proj = int(w_proj * scale_proj)
        new_h_proj = int(h_proj * scale_proj)
        projection_resized = cv2"|".resize(projection_frame, (new_w_proj, new_h_proj))

        # create a blank canvas of 1920x1080
        combined_"|"frame = np.zeros((canvas_height, canvas_width, 3), dtype=np.uint8)

        # Copy the main frame onto the canvas (top-left corner)
        combined_frame[:h_frame, :w_frame] = frame

        # Set the position for the projection frame at the bottom-middle
        x_offset = (canvas_width - new_w_proj) // 2
        y_offset = canvas_height - new_h_proj - 25  # 25px margin from bottom

        # Blend the projection with 75% visibility (alpha transparency)
        alpha = 0.75
        overlay = combined_frame[y_offset:y_offset + new_h_proj, x_offset:x_offset + new_w_proj]
        cv2.addWeighted(projection_resized, alpha, overlay, 1 - alpha, 0, overlay)

       "|".resize(projection_frame, (new_w_proj, new_h_proj))

        # combine the original frame with the projection of player positions on the field image"|0|Almost entirely correct.|False|60.02633550910004|0.14216645907653844|0.5641025641025642|0.43243243243243246|0.5128205128205128
code_examples\football_video_processor.py|" all_tracks['object'] = self.speed_estimator.calculate_speed(
                all_tracks['object'], self.frame_num, self.cur_fps
            )
            
            # Save tracking information if saving is enabled
            if self.save_tracks_dir:
                self._save_tracks(all_tracks)

            self.frame_num += 1

            # Annotate the current frame with the tracking information
            annotated_frame = self.annotate(frame, all_tracks)

            # Append the annotated frame to the processed frames list
            processed_frames.append(annotated_frame)

        return processed_frames

    
    def annotate(self, frame: np.ndarray, tracks: Dict) -> np.ndarray:
        """"""
        Annotates the given frame with analised data

        Args:
            frame (np.ndarray): The current video frame to be annotated.
            tracks (Dict[str, Dict[int, np.ndarray]]): A dictionary containing tracking data"|"for objects and keypoints.

        returns:
            np.ndarray: the annotated video frame.
        """"""
         
        # draw the frame number if required
        if self.draw_frame_num:"|"
            frame = self.frame_num_annotator.annotate(frame, {'frame_num': self.frame_num})
        
        # Annotate the frame with keypoint and object tracking information
        frame = self.kp_annotator.annotate(frame, tracks['keypoints'])
        frame = self.obj_annotator.annotate(frame, tracks['object'])
        
        # Project the object positions onto the football field image
        projection_frame = self.projection_annotator.annotate(self.field_image, tracks['object'])

        # Combine the frame and projection into a single canvas
        combined_frame = self._combine_frame_projection(frame, projection_frame)

        # Annotate possession on the combined frame
        combined_frame = self._annotate_possession(combined_frame)

        return combined_frame
    

    def _combine_frame_projection(self, frame: np.ndarray, projection_frame: np.ndarray) ->"|"s.

        returns:
            np.ndarray: the annotated frame.
        """"""
        # get the current frame number
        self.frame_num = frame.shape[0]"|1|Mostly correct, but it did not notice the tab in the suffix so the code would not compile.|False|42.85904935476806|0.1973212456326944|0.6|0.31578947368421056|0.6
code_examples\club_assigner.py|" img.reshape(-1, 3)
        
        # K-Means clustering
        self.kmeans.fit(img_reshape)
        
        # Get Cluster Labels
        labels = self.kmeans.labels_
        
        # Reshape the labels into the image shape
        cluster_img = labels.reshape(img.shape[0], img.shape[1])

        # Get Jersey Color
        corners = [cluster_img[0, 0], cluster_img[0, -1], cluster_img[-1, 0], cluster_img[-1, -1]]
        bg_cluster = max(set(corners), key=corners.count)

        # The other cluster is a player cluster
        player_cluster = 1 - bg_cluster

        jersey_color_bgr = self.kmeans.cluster_centers_[player_cluster]
        
        return (int(jersey_color_bgr[2]), int(jersey_color_"|"bgr[1]), int(jersey_color_bgr[0]))

    def save_player_image(self, img: np.ndarray, player_id: int, is"|"_goalkeeper: bool = False) -> None:
        """"""
        Save the player's image to the specified directory.

        Args:
            img (np.ndarray): The image of the player.
            player_id (int): The unique identifier for the player.
            is_goalkeeper (bool): Flag to indicate if the player is a goalkeeper.
        """"""
        # Use 'goalkeeper' or 'player' prefix based on is_goalkeeper flag
        prefix = 'goalkeeper' if is_goalkeeper else 'player'
        filename = os.path.join(self.output_dir, f""{prefix}_{player_id}.png"")
        if os.path.exists(filename):
            return
        cv2.imwrite(filename, img)
        print(f""Saved {prefix} image: {filename}"")
        # Increment the count of saved images
        self.saved_images += 1

    def get_jersey_color(self,"|"bgr[1]))

    def get_jersey_color_bgr_from_img(self, img: np.ndarray, player_id: int, is"|1|Got some parts correct, but some parts are missing/wrong.|False|60.24524534717096|0.47750342648354643|0.7777777777777778|0.5882352941176471|0.7222222222222222
code_examples\club_assigner.py|"from .club import Club

import os
from sklearn.cluster import KMeans
import numpy as np
import cv2
from typing import Tuple, Dict, Any, Optional

class ClubAssigner:
    def __init__(self, club1: Club, club2: Club, images_to_save: int = 0, images_save_path: Optional[str] = None) -> None:
        """"""
        Initializes the ClubAssigner with club information and image saving parameters.

        Args:
            club1 (Club): The first club object.
            club2 (Club): The second club object.
            images_to_save (int): The number of images to save for analysis.
            images_save_path (Optional[str]): The directory path to save images.
        """"""
        self.club1 = club1
        self.club2 = club2
        self.model = ClubAssignerModel(self.club1, self."|"club2)
        self.club_colors: dict[str, any] = {
            club1.name: club1.player_jersey_color,
            club2.name:"|" club2.player_jersey_color
        }
        self.goalkeeper_colors: Dict[str, Any] = {
            club1.name: club1.goalkeeper_jersey_color,
            club2.name: club2.goalkeeper_jersey_color
        }
        self.kmeans = KMeans(n_clusters=2, init='k-means++', n_init=10, random_state=42)

        # Saving images for analysis
        self.images_to_save = images_to_save
        self.output_dir = images_save_path

        if not images_save_path:
            images_to_save = 0
            self.saved_images = 0
        else:
            if not os.path.exists(self.output_dir):
                os.makedirs(self.output_dir)
        
            self.saved_images = len([name for name in"|"club2)
        self.images_to_save = images_to_save
        self.images_save_path = images_save_path

    def assign_club"|1|Some parts are meaninigfull|False|9.13124680674188|0.028517539529041507|0.1818181818181818|0.06451612903225808|0.1818181818181818
code_examples\projection_annotator.py|"from .abstract_annotator import AbstractAnnotator
from utils import is_color_dark, rgb_bgr_converter

import cv2
import numpy as np
from scipy.spatial import Voronoi
from typing import Dict


class ProjectionAnnotator(AbstractAnnotator):
    """"""
    Class to annotate projections on a projection image, including Voronoi regions for players (and goalkeepers), 
    and different markers for ball, players, referees, and goalkeepers.
    """"""

    def _draw_outline(self, frame: np.ndarray, pos: tuple, shape: str = 'circle', size: int = 10, is_dark: bool = True) -> None:
        """"""
        Draws a white or black outline around the object based on its color and shape.
        
        Parameters:
            frame (np.ndarray): The image on which to draw the outline.
            pos (tuple): The ("|"x, y) position of the object.
            shape (str): the shape of the outline ('circle', 'square', 'dashed_circle', 'plus').
            size (int): the"|" size of the outline.
            is_dark (bool): Flag indicating whether the color is dark (determines outline color).
        """"""
        outline_color = (255, 255, 255) if is_dark else (0, 0, 0)

        if shape == 'circle':
            cv2.circle(frame, (int(pos[0]), int(pos[1])), radius=size + 2, color=outline_color, thickness=2)
        elif shape == 'square':
            top_left = (int(pos[0]) - (size + 2), int(pos[1]) - (size + 2))
            bottom_right = (int(pos[0]) + (size + 2), int(pos[1]) + (size + 2))
            cv2.rectangle(frame, top_left, bottom_right, color=outline_color, thickness"|"pos) position of the outline.
            shape (str): the shape of the outline.
            size (int): the size of the outline.
            is_dark (bool): fla"|1|Some parts are correct.|False|49.96621353002344|0.3243901601387751|0.5909090909090909|0.47619047619047616|0.5909090909090909
code_examples\bbox_utils.py|"from typing import Tuple

def get_bbox_center(bbox: Tuple[float, float, float, float]) -> Tuple[float, float]:
    """"""
    Calculate the center coordinates of a bounding box.

    Args:
        bbox (Tuple[float, float, float, float]): The bounding box defined by (x1, y1, x2, y2).

    Returns:
        Tuple[float, float]: The center coordinates (center_x, center_y) of the bounding box.
    """"""
    x1, y1, x2, y2 = bbox
    return (x1 + x2) / 2, (y1 + y2) / 2

def get_bbox_width(bbox: Tuple[float, float, float, float]) -> float:
    """"""
    Calculate the width of a bounding box.

    Args:
        bbox (Tuple[float, float, float, float]): The bounding box defined by"|"(x1, y1, x2, y2).

    returns:
        float: the width of the bounding box.
    """"""
    x1, _, x2, _ = bbox"|" return x2 - x1

def point_distance(p1: Tuple[float, float], p2: Tuple[float, float]) -> float:
    """"""
    Calculate the Euclidean distance between two points.

    Args:
        p1 (Tuple[float, float]): The first point (x1, y1).
        p2 (Tuple[float, float]): The second point (x2, y2).

    Returns:
        float: The distance between the two points.
    """"""
    return ((p1[0] - p2[0]) ** 2 + (p1[1] - p2[1]) ** 2) ** 0.5

def point_coord_diff(p1: Tuple[float, float], p2: Tuple[float, float]) -> Tuple[float, float]:
    """"""
    Calculate the coordinate differences between two points.

    Args:
        p1 (Tuple[float, float"|"the (x1, y1, x2, y2).

    returns:
        float: the width of the bounding box.
    """"""
    x1, y1,"|0|Mostly correct, the ending is a bit off.|False|78.33119284704766|0.7139379321458328|0.8666666666666667|0.8571428571428571|0.8666666666666667
